time,voltage,lowess
0.005,3.4,3.3316502432721387
0.01,3.4,3.2448427219593965
0.015,3.45,3.1611726710674604
0.02,3.45,3.080830975442002
0.025,1.9,3.0035593792715924
0.030000000000000002,1.9,2.9285778485385094
0.035,2.85,2.8551116116980526
0.04,2.85,2.7825123240847778
0.045,2.5,2.70976723953984
0.049999999999999996,2.5,2.6377488374140583
0.05499999999999999,2.25,2.609359528503347
0.05999999999999999,2.25,2.6020988789155064
0.06499999999999999,3.56,2.611406416027196
0.06999999999999999,3.56,2.629542776140469
0.075,1.99,2.6521074724881983
0.08,1.99,2.6801230529740514
0.085,2.83,2.7112020611752503
0.09000000000000001,2.83,2.737921962322779
0.09500000000000001,2.89,2.7557835467272427
0.10000000000000002,2.89,2.765935639881438
0.10500000000000002,2.69,2.770738703196021
0.11000000000000003,2.69,2.7724384195635756
0.11500000000000003,3.66,2.7687771491294813
0.12000000000000004,3.66,2.7542896762432756
0.12500000000000003,2.08,2.730071152286296
0.13000000000000003,2.08,2.7029415333635534
0.13500000000000004,3.01,2.676594913355941
0.14000000000000004,3.01,2.6508962654879644
0.14500000000000005,2.57,2.626126399724191
0.15000000000000005,2.57,2.602281249186925
0.15500000000000005,1.89,2.5786148634524455
0.16000000000000006,1.89,2.557077227579316
0.16500000000000006,3.36,2.543245508610551
0.17000000000000007,3.36,2.539466656315882
0.17500000000000007,2.29,2.5462514904612434
0.18000000000000008,2.29,2.5665892686628484
0.18500000000000008,2.62,2.598455152519114
0.19000000000000009,2.62,2.6330213387011745
0.1950000000000001,2.21,2.6646735633147305
0.2000000000000001,2.21,2.6925002389542403
0.2050000000000001,3.02,2.7142174658405205
0.2100000000000001,3.02,2.729546857229816
0.2150000000000001,3.37,2.7394398639837703
0.2200000000000001,3.37,2.7442169969532237
0.22500000000000012,2.18,2.7461297830426945
0.23000000000000012,2.18,2.746906448242002
0.23500000000000013,3.53,2.7448583586596813
0.24000000000000013,3.53,2.7373746784684845
0.24500000000000013,2.2,2.72612321453329
