,time,voltage,lowess
0,0.005,1.16,1.1933355637327918
1,0.01,1.16,0.8742894642562886
2,0.015,0.07,0.5708638187736148
3,0.02,0.07,0.24475266742505172
4,0.025,0.17,0.133887461531998
5,0.030000000000000002,0.17,0.1409822373645044
6,0.035,0.11,0.12937645189278696
7,0.04,0.11,0.10884988343539266
8,0.045,0.09,0.10512245796837008
9,0.049999999999999996,0.09,0.1205326748599757
10,0.05499999999999999,0.17,0.1364271977085875
11,0.05999999999999999,0.17,0.14413963527723966
12,0.06499999999999999,0.12,0.13981516694559307
13,0.06999999999999999,0.12,0.1321214269973079
14,0.075,0.14,0.1318721763400582
15,0.08,0.14,0.13443576893785733
16,0.085,0.13,0.13356424312681328
17,0.09000000000000001,0.13,0.130999883803638
18,0.09500000000000001,0.13,0.1339967065393765
19,0.10000000000000002,0.13,0.14425411887953116
20,0.10500000000000002,0.17,0.14973375836903016
21,0.11000000000000003,0.17,0.14460276561578683
22,0.11500000000000003,0.11,0.1374177363497097
23,0.12000000000000004,0.11,0.13742085695901177
24,0.12500000000000003,0.17,0.14761523969476312
25,0.13000000000000003,0.17,0.16044747063261647
26,0.13500000000000004,0.16,0.15759621030733367
27,0.14000000000000004,0.16,0.13963297286396986
28,0.14500000000000005,0.1,0.13437503683265575
29,0.15000000000000005,0.1,0.15239173356585597
30,0.15500000000000005,0.23,0.1713707624138095
31,0.16000000000000006,0.23,0.1739575053188154
32,0.16500000000000006,0.11,0.1577839388844951
33,0.17000000000000007,0.11,0.13978286941814896
34,0.17500000000000007,0.16,0.14617418999163254
35,0.18000000000000008,0.16,0.1692718656512033
36,0.18500000000000008,0.2,0.17674038666481223
37,0.19000000000000009,0.2,0.1638920584677023
38,0.1950000000000001,0.11,0.15014282245505028
39,0.2000000000000001,0.11,0.14755391116588665
40,0.2050000000000001,0.19,0.15349869844035408
41,0.2100000000000001,0.19,0.1534986770936989
42,0.2150000000000001,0.11,0.1475387233159489
43,0.2200000000000001,0.11,0.15012244163146105
44,0.22500000000000012,0.2,0.16187713896431
45,0.23000000000000012,0.2,0.16958302109569368
46,0.23500000000000013,0.14,0.16137257005250202
47,0.24000000000000013,0.14,0.14596903341465559
48,0.24500000000000013,0.14,0.1489465454209058
49,0.2500000000000001,0.14,0.17205024900278706
50,0.2550000000000001,0.23,0.18675720574196442
51,0.2600000000000001,0.23,0.18160516548447755
52,0.2650000000000001,0.12,0.16425486927173322
53,0.27000000000000013,0.12,0.14882613581137516
54,0.27500000000000013,0.17,0.15219085618940095
55,0.28000000000000014,0.17,0.16501612644132826
56,0.28500000000000014,0.17,0.16700651086422605
57,0.29000000000000015,0.17,0.15931126995495892
58,0.29500000000000015,0.14,0.15965507185166083
59,0.30000000000000016,0.14,0.1750571267184128
60,0.30500000000000016,0.23,0.1858358483809603
61,0.31000000000000016,0.23,0.1781154519410965
62,0.31500000000000017,0.11,0.16289547970045828
63,0.3200000000000002,0.11,0.15774004844015993
64,0.3250000000000002,0.21,0.16833797493126212
65,0.3300000000000002,0.21,0.17860846411995548
66,0.3350000000000002,0.15,0.16837430685132582
67,0.3400000000000002,0.15,0.14527707555689476
68,0.3450000000000002,0.12,0.1406518708142912
69,0.3500000000000002,0.12,0.15863933753350914
70,0.3550000000000002,0.22,0.17318297720275871
71,0.3600000000000002,0.22,0.17060599844285085
72,0.3650000000000002,0.11,0.15425638979205936
73,0.3700000000000002,0.11,0.1388216004330906
74,0.3750000000000002,0.16,0.1481584793428189
75,0.3800000000000002,0.16,0.17638693281562642
76,0.38500000000000023,0.22,0.18759774300770382
77,0.39000000000000024,0.22,0.1747394658135198
78,0.39500000000000024,0.11,0.16033003850958258
79,0.40000000000000024,0.11,0.16031499274018507
80,0.40500000000000025,0.22,0.1717511563191603
81,0.41000000000000025,0.22,0.1768901378993877
82,0.41500000000000026,0.13,0.16807866170688263
83,0.42000000000000026,0.13,0.16037953410989866
84,0.42500000000000027,0.19,0.16561711290843273
85,0.43000000000000027,0.19,0.17331457753471832
86,0.4350000000000003,0.16,0.16570847163250774
87,0.4400000000000003,0.16,0.14517978617168503
88,0.4450000000000003,0.11,0.1408027114822777
89,0.4500000000000003,0.11,0.1613938286671284
90,0.4550000000000003,0.24,0.18233245203816492
91,0.4600000000000003,0.24,0.18749908824986222
92,0.4650000000000003,0.13,0.17016209491606304
93,0.4700000000000003,0.13,0.14444764056967135
94,0.4750000000000003,0.14,0.14729565988849033
95,0.4800000000000003,0.14,0.17813362141249867
96,0.4850000000000003,0.25,0.1955666622262293
97,0.4900000000000003,0.25,0.185251084280482
98,0.49500000000000033,0.1,0.16567246827049864
99,0.5000000000000003,0.1,0.1578983465828624
100,0.5050000000000003,0.22,0.1682392123353938
101,0.5100000000000003,0.22,0.17593225213542324
102,0.5150000000000003,0.13,0.1670676559600048
103,0.5200000000000004,0.13,0.15680265737182406
104,0.5250000000000004,0.18,0.16118746980458348
105,0.5300000000000004,0.18,0.1714527563757827
106,0.5350000000000004,0.17,0.1666032166618042
107,0.5400000000000004,0.17,0.1460753090193672
108,0.5450000000000004,0.1,0.13796953322015235
109,0.5500000000000004,0.1,0.15341462908312306
110,0.5550000000000004,0.23,0.1713754157989859
111,0.5600000000000004,0.23,0.1739513366386654
112,0.5650000000000004,0.11,0.15651155902938962
113,0.5700000000000004,0.11,0.13449124752746433
114,0.5750000000000004,0.15,0.20772453427347773
115,0.5800000000000004,0.15,0.3740110014932791
116,0.5850000000000004,0.72,0.560965382976025
117,0.5900000000000004,0.72,0.7680898724495315
118,0.5950000000000004,1.4,0.7461810122972391
119,0.6000000000000004,1.4,0.763822526228098
120,0.6050000000000004,0.79,0.7644858128809306
121,0.6100000000000004,0.79,0.8564599588416297
122,0.6150000000000004,1.01,0.9440547447916339
123,0.6200000000000004,1.01,1.0354368651722237
124,0.6250000000000004,2.15,1.0851651864899292
125,0.6300000000000004,2.15,1.1358882164652362
126,0.6350000000000005,1.21,1.163171216813151
127,0.6400000000000005,1.21,1.3637698369395823
128,0.6450000000000005,1.7,1.5535962877545733
129,0.6500000000000005,1.7,1.751804770992273
130,0.6550000000000005,0.79,1.714994090094855
131,0.6600000000000005,0.79,1.7250310413590788
132,0.6650000000000005,1.74,1.7861070540044577
133,0.6700000000000005,1.74,1.615154748829878
134,0.6750000000000005,1.33,1.4512241243915143
135,0.6800000000000005,1.33,1.279213619145906
136,0.6850000000000005,0.92,1.3300000000000944
137,0.6900000000000005,0.92,0.92
138,0.6950000000000005,2.56,2.56
139,0.7000000000000005,2.56,2.56
140,0.7050000000000005,0.69,0.69
141,0.7100000000000005,0.69,1.879999999994625
142,0.7150000000000005,1.88,1.8799999999999797
143,0.7200000000000005,1.88,1.8799999999918353
144,0.7250000000000005,0.45,1.3710377071751374
145,0.7300000000000005,0.45,1.200000000002499
146,0.7350000000000005,0.86,0.86
147,0.7400000000000005,0.86,0.86
148,0.7450000000000006,3.38,3.38
149,0.7500000000000006,3.38,3.38
150,0.7550000000000006,0.99,0.99
151,0.7600000000000006,0.99,0.99
152,0.7650000000000006,1.29,1.2900000000000025
153,0.7700000000000006,1.29,1.9378862840493392
154,0.7750000000000006,2.9,2.4905767578762052
155,0.7800000000000006,2.9,2.8999999999999577
156,0.7850000000000006,1.35,2.4482551505676065
157,0.7900000000000006,1.35,2.0928015917684903
158,0.7950000000000006,1.71,1.709999999999954
159,0.8000000000000006,1.71,1.710000000000047
160,0.8050000000000006,0.57,1.924075542026917
161,0.8100000000000006,0.57,2.003333333333473
162,0.8150000000000006,2.15,2.15
163,0.8200000000000006,2.15,1.790000000000004
